Driver,Team,GridPosition,Position,ClassifiedPosition,Status,Points,Race,Round
COL,Alpine,16.0,15.0,15,Lapped,0.0,Austrian Grand Prix,8
OCO,Haas F1 Team,15.0,16.0,16,Lapped,0.0,Austrian Grand Prix,8
ALB,Williams,18.0,17.0,17,Lapped,0.0,Austrian Grand Prix,8
ALO,Aston Martin,21.0,18.0,18,Lapped,0.0,Austrian Grand Prix,8
STR,Aston Martin,22.0,19.0,R,Retired,0.0,Austrian Grand Prix,8
SAI,Williams,17.0,20.0,R,Retired,0.0,Austrian Grand Prix,8
PER,Cadillac,19.0,21.0,R,Retired,0.0,Austrian Grand Prix,8
BOT,Cadillac,20.0,22.0,R,Retired,0.0,Austrian Grand Prix,8
LEC,Ferrari,2.0,1.0,1,Finished,25.0,British Grand Prix,9
RUS,Mercedes,4.0,2.0,2,Finished,18.0,British Grand Prix,9
HAM,Ferrari,3.0,3.0,3,Finished,15.0,British Grand Prix,9
NOR,McLaren,6.0,4.0,4,Finished,12.0,British Grand Prix,9
HAD,Red Bull Racing,5.0,5.0,5,Finished,10.0,British Grand Prix,9
LAW,Racing Bulls,10.0,6.0,6,Finished,8.0,British Grand Prix,9
LIN,Racing Bulls,9.0,7.0,7,Finished,6.0,British Grand Prix,9
BOR,Audi,11.0,8.0,8,Finished,4.0,British Grand Prix,9
COL,Alpine,19.0,9.0,9,Finished,2.0,British Grand Prix,9
GAS,Alpine,15.0,10.0,10,Finished,1.0,British Grand Prix,9
PIA,McLaren,8.0,11.0,11,Finished,0.0,British Grand Prix,9
BEA,Haas F1 Team,13.0,12.0,12,Finished,0.0,British Grand Prix,9
OCO,Haas F1 Team,17.0,13.0,13,Finished,0.0,British Grand Prix,9
PER,Cadillac,20.0,14.0,14,Finished,0.0,British Grand Prix,9
ANT,Mercedes,1.0,15.0,15,Finished,0.0,British Grand Prix,9
BOT,Cadillac,18.0,16.0,16,Finished,0.0,British Grand Prix,9
SAI,Williams,14.0,17.0,17,Lapped,0.0,British Grand Prix,9
