Race,Round,attacker,defender,attacking_team,defending_team,start_lap,end_lap,laps_in_contact,mean_advantage,min_gap,passed,reason,censored_strict,censored_loose
Chinese Grand Prix,2,PER,ALO,Cadillac,Aston Martin,15,15,1,0.36199999999999477,0.42899999999963256,True,pass,False,False
Chinese Grand Prix,2,RUS,HAM,Mercedes,Ferrari,4,4,1,0.45600000000000307,0.4189999999999827,True,pass,False,False
Chinese Grand Prix,2,RUS,LEC,Mercedes,Ferrari,3,3,1,0.4200000000000017,0.26799999999997226,True,pass,False,False
Chinese Grand Prix,2,VER,LAW,Red Bull Racing,Racing Bulls,14,14,1,0.180499999999995,0.41099999999983083,True,pass,False,False
Chinese Grand Prix,2,VER,LIN,Red Bull Racing,Racing Bulls,3,6,4,0.7284999999999968,0.23699999999996635,False,pit,True,True
Chinese Grand Prix,2,VER,OCO,Red Bull Racing,Haas F1 Team,20,21,2,0.5424999999999898,0.2760000000002947,True,pass,False,False
Dutch Grand Prix,12,ANT,ALB,Mercedes,Williams,15,15,1,2.923000000000002,0.23199999999974352,True,pass,False,False
Dutch Grand Prix,12,ANT,COL,Mercedes,Alpine,13,13,1,2.260000000000005,1.34800000000007,True,pass,False,False
Dutch Grand Prix,12,ANT,GAS,Mercedes,Alpine,25,25,1,2.132499999999993,0.3689999999999145,True,pass,False,False
Dutch Grand Prix,12,ANT,LIN,Mercedes,Racing Bulls,17,17,1,2.5504999999999995,1.102999999999838,True,pass,False,False
Dutch Grand Prix,12,ANT,LIN,Mercedes,Racing Bulls,26,26,1,2.5504999999999995,1.3580000000001746,True,pass,False,False
Dutch Grand Prix,12,ANT,PER,Mercedes,Cadillac,11,11,1,3.4879999999999995,1.4279999999999973,True,pass,False,False
Dutch Grand Prix,12,ANT,RUS,Mercedes,Mercedes,65,66,2,0.3610000000000042,1.1609999999991487,True,pass,False,False
Dutch Grand Prix,12,COL,ALO,Alpine,Aston Martin,13,14,2,0.33100000000000307,0.3789999999997917,False,dropped_back,False,True
Dutch Grand Prix,12,GAS,ALO,Alpine,Aston Martin,29,29,1,0.458500000000015,1.0849999999995816,False,dropped_back,False,True
Dutch Grand Prix,12,HAM,ALB,Ferrari,Williams,22,22,1,2.780000000000001,0.2670000000002801,True,pass,False,False
Dutch Grand Prix,12,HAM,ALO,Ferrari,Aston Martin,20,20,1,2.4480000000000075,1.2640000000001237,True,pass,False,False
Dutch Grand Prix,12,HAM,LIN,Ferrari,Racing Bulls,30,30,1,2.407499999999999,0.9060000000008586,True,pass,False,False
Dutch Grand Prix,12,HAM,PER,Ferrari,Cadillac,14,14,1,3.344999999999999,1.3820000000001755,True,pass,False,False
Dutch Grand Prix,12,HAM,PIA,Ferrari,McLaren,35,35,1,0.4000000000000057,0.23700000000189902,True,pass,False,False
Dutch Grand Prix,12,HAM,RUS,Ferrari,Mercedes,67,69,3,0.21800000000000352,1.3039999999991778,False,neutralised,True,True
Dutch Grand Prix,12,HUL,GAS,Audi,Alpine,30,30,1,0.35249999999999204,1.2179999999998472,True,pass,False,False
Dutch Grand Prix,12,HUL,GAS,Audi,Alpine,61,61,1,0.35249999999999204,0.18299999999908323,True,pass,False,False
Dutch Grand Prix,12,HUL,LIN,Audi,Racing Bulls,32,32,1,0.7704999999999984,1.4269999999996799,True,pass,False,False
Dutch Grand Prix,12,LAW,GAS,Racing Bulls,Alpine,7,7,1,1.11099999999999,0.2769999999999868,True,pass,False,False
Dutch Grand Prix,12,LEC,ALO,Ferrari,Aston Martin,27,27,1,2.5320000000000107,0.9559999999992215,True,pass,False,False
Dutch Grand Prix,12,LEC,HUL,Ferrari,Audi,26,26,1,1.7210000000000036,0.3669999999997344,True,pass,False,False
Dutch Grand Prix,12,LEC,LAW,Ferrari,Racing Bulls,61,61,1,0.9625000000000057,0.32700000000204454,True,pass,False,False
Dutch Grand Prix,12,LEC,PIA,Ferrari,McLaren,7,7,1,0.48400000000000887,0.15600000000006276,False,dropped_back,False,True
Dutch Grand Prix,12,LEC,PIA,Ferrari,McLaren,15,15,1,0.48400000000000887,1.4800000000000182,False,pit,True,True
Dutch Grand Prix,12,LEC,PIA,Ferrari,McLaren,28,28,1,0.48400000000000887,0.4699999999997999,True,pass,False,False
Dutch Grand Prix,12,LEC,RUS,Ferrari,Mercedes,8,14,7,0.3020000000000067,0.2460000000000946,False,pit,True,True
Dutch Grand Prix,12,LEC,RUS,Ferrari,Mercedes,72,72,1,0.3020000000000067,0.8369999999995343,False,race_end,True,True
Dutch Grand Prix,12,NOR,ALB,McLaren,Williams,16,16,1,2.782499999999999,1.0649999999998272,True,pass,False,False
Dutch Grand Prix,12,NOR,ALO,McLaren,Aston Martin,15,15,1,2.4505000000000052,0.7449999999998909,True,pass,False,False
Dutch Grand Prix,12,NOR,LAW,McLaren,Racing Bulls,42,43,2,0.8810000000000002,0.7109999999997854,True,pass,False,False
Dutch Grand Prix,12,NOR,PER,McLaren,Cadillac,12,12,1,3.3474999999999966,0.7599999999999909,True,pass,False,False
Dutch Grand Prix,12,OCO,ALB,Haas F1 Team,Williams,31,33,3,0.3130000000000024,0.6330000000007203,True,pass,False,False
Dutch Grand Prix,12,PIA,GAS,McLaren,Alpine,27,27,1,1.5894999999999868,1.06699999999978,True,pass,False,False
Dutch Grand Prix,12,PIA,HUL,McLaren,Audi,25,25,1,1.2369999999999948,0.6779999999998836,True,pass,False,False
Dutch Grand Prix,12,RUS,PIA,Mercedes,McLaren,8,14,7,0.18200000000000216,0.19499999999993634,False,pit,True,True
Dutch Grand Prix,12,STR,BOT,Aston Martin,Cadillac,20,23,4,0.8859999999999957,0.08100000000035834,True,pass,False,False
Dutch Grand Prix,12,TSU,ALO,Racing Bulls,Aston Martin,51,51,1,0.7670000000000101,1.4770000000003165,True,pass,False,False
Dutch Grand Prix,12,TSU,GAS,Racing Bulls,Alpine,31,32,2,0.3084999999999951,0.8780000000001564,True,pass,False,False
Hungarian Grand Prix,11,BOR,OCO,Audi,Haas F1 Team,3,8,6,0.2049999999999983,0.21299999999999386,False,dropped_back,False,True
Hungarian Grand Prix,11,BOR,OCO,Audi,Haas F1 Team,10,14,5,0.2049999999999983,0.45800000000019736,True,pass,False,False
Hungarian Grand Prix,11,GAS,STR,Alpine,Aston Martin,60,61,2,0.2880000000000109,0.48699999999826105,True,pass,False,False
Hungarian Grand Prix,11,HAM,ANT,Ferrari,Mercedes,60,60,1,0.3159999999999883,0.5310000000008586,False,dropped_back,False,True
Hungarian Grand Prix,11,HAM,ANT,Ferrari,Mercedes,63,70,8,0.3159999999999883,0.4930000000013024,False,race_end,True,True
Hungarian Grand Prix,11,HAM,VER,Ferrari,Red Bull Racing,3,10,8,0.32499999999998863,0.34300000000001774,False,pit,True,True
Hungarian Grand Prix,11,HAM,VER,Ferrari,Red Bull Racing,19,23,5,0.32499999999998863,0.427000000000362,False,dropped_back,False,True
Hungarian Grand Prix,11,HUL,ALO,Audi,Aston Martin,26,26,1,0.9619999999999891,0.4299999999989268,True,pass,False,False
Hungarian Grand Prix,11,HUL,LIN,Audi,Racing Bulls,3,11,9,0.3644999999999925,0.7030000000000314,False,dropped_back,False,True
Hungarian Grand Prix,11,HUL,LIN,Audi,Racing Bulls,15,16,2,0.3644999999999925,1.265999999999849,False,pit,True,True
Hungarian Grand Prix,11,HUL,LIN,Audi,Racing Bulls,63,63,1,0.3644999999999925,0.15599999999903957,True,pass,False,False
Hungarian Grand Prix,11,LAW,BOR,Racing Bulls,Audi,58,59,2,0.8235000000000099,0.36200000000098953,True,pass,False,False
Hungarian Grand Prix,11,LAW,LIN,Racing Bulls,Racing Bulls,61,62,2,0.4065000000000083,0.31300000000010186,True,pass,False,False
Hungarian Grand Prix,11,LEC,VER,Ferrari,Red Bull Racing,46,46,1,0.1529999999999916,1.0720000000001164,False,dropped_back,False,True
Hungarian Grand Prix,11,LIN,ALO,Racing Bulls,Aston Martin,25,25,1,0.5974999999999966,0.36899999999968713,True,pass,False,False
Hungarian Grand Prix,11,NOR,ANT,McLaren,Mercedes,45,46,2,0.5625,0.4189999999985048,True,pass,False,False
Hungarian Grand Prix,11,NOR,PIA,McLaren,McLaren,3,7,5,0.49200000000000443,0.9679999999999893,False,dropped_back,False,True
Hungarian Grand Prix,11,NOR,PIA,McLaren,McLaren,11,13,3,0.49200000000000443,1.1789999999996326,False,pit,True,True
Hungarian Grand Prix,11,NOR,PIA,McLaren,McLaren,22,30,9,0.49200000000000443,0.6279999999994743,False,pit,True,True
Hungarian Grand Prix,11,RUS,ALO,Mercedes,Aston Martin,5,5,1,2.0720000000000027,0.2829999999999586,True,pass,False,False
Hungarian Grand Prix,11,RUS,BEA,Mercedes,Haas F1 Team,4,4,1,2.7674999999999983,0.3069999999999595,True,pass,False,False
Hungarian Grand Prix,11,RUS,BOR,Mercedes,Audi,7,8,2,1.8915000000000077,0.23499999999978627,True,pass,False,False
Hungarian Grand Prix,11,RUS,COL,Mercedes,Alpine,6,6,1,2.0095000000000027,0.10499999999996135,True,pass,False,False
