Season,RoundNumber,Race,Driver,grid_pos,Position,grid_rank,lap1_rank,change,field
2022,15,Dutch Grand Prix,ALO,13.0,13.0,13.0,13.0,0.0,20
2022,15,Dutch Grand Prix,LEC,2.0,2.0,2.0,2.0,0.0,20
2022,15,Dutch Grand Prix,STR,10.0,8.0,10.0,8.0,2.0,20
2022,15,Dutch Grand Prix,MAG,18.0,15.0,18.0,15.0,3.0,20
2022,15,Dutch Grand Prix,TSU,9.0,11.0,9.0,11.0,-2.0,20
2022,15,Dutch Grand Prix,ALB,15.0,16.0,15.0,16.0,-1.0,20
2022,15,Dutch Grand Prix,ZHO,14.0,14.0,14.0,14.0,0.0,20
2022,15,Dutch Grand Prix,RIC,17.0,17.0,17.0,17.0,0.0,20
2022,15,Dutch Grand Prix,OCO,12.0,9.0,12.0,9.0,3.0,20
2022,15,Dutch Grand Prix,NOR,7.0,6.0,7.0,6.0,1.0,20
2022,15,Dutch Grand Prix,HAM,4.0,4.0,4.0,4.0,0.0,20
2022,15,Dutch Grand Prix,MSC,8.0,10.0,8.0,10.0,-2.0,20
2022,15,Dutch Grand Prix,VET,19.0,18.0,19.0,18.0,1.0,20
2022,15,Dutch Grand Prix,SAI,3.0,3.0,3.0,3.0,0.0,20
2022,15,Dutch Grand Prix,LAT,20.0,20.0,20.0,20.0,0.0,20
2022,15,Dutch Grand Prix,RUS,6.0,7.0,6.0,7.0,-1.0,20
2022,15,Dutch Grand Prix,BOT,16.0,19.0,16.0,19.0,-3.0,20
2022,16,Italian Grand Prix,VER,7.0,4.0,7.0,4.0,3.0,20
2022,16,Italian Grand Prix,GAS,5.0,5.0,5.0,5.0,0.0,20
2022,16,Italian Grand Prix,PER,13.0,15.0,13.0,15.0,-2.0,20
2022,16,Italian Grand Prix,ALO,6.0,7.0,6.0,7.0,-1.0,20
2022,16,Italian Grand Prix,LEC,1.0,1.0,1.0,1.0,0.0,20
2022,16,Italian Grand Prix,STR,12.0,11.0,12.0,11.0,1.0,20
2022,16,Italian Grand Prix,MAG,16.0,12.0,16.0,12.0,4.0,20
2022,16,Italian Grand Prix,TSU,20.0,18.0,20.0,18.0,2.0,20
2022,16,Italian Grand Prix,ZHO,9.0,9.0,9.0,9.0,0.0,20
2022,16,Italian Grand Prix,RIC,4.0,3.0,4.0,3.0,1.0,20
2022,16,Italian Grand Prix,OCO,14.0,13.0,14.0,13.0,1.0,20
2022,16,Italian Grand Prix,NOR,3.0,6.0,3.0,6.0,-3.0,20
2022,16,Italian Grand Prix,HAM,19.0,19.0,19.0,19.0,0.0,20
2022,16,Italian Grand Prix,DEV,8.0,8.0,8.0,8.0,0.0,20
2022,16,Italian Grand Prix,MSC,17.0,17.0,17.0,17.0,0.0,20
2022,16,Italian Grand Prix,VET,11.0,10.0,11.0,10.0,1.0,20
2022,16,Italian Grand Prix,SAI,18.0,16.0,18.0,16.0,2.0,20
2022,16,Italian Grand Prix,LAT,10.0,14.0,10.0,14.0,-4.0,20
2022,16,Italian Grand Prix,RUS,2.0,2.0,2.0,2.0,0.0,20
2022,16,Italian Grand Prix,BOT,15.0,20.0,15.0,20.0,-5.0,20
2022,17,Singapore Grand Prix,VER,8.0,12.0,8.0,12.0,-4.0,19
2022,17,Singapore Grand Prix,GAS,7.0,7.0,7.0,7.0,0.0,19
2022,17,Singapore Grand Prix,PER,2.0,1.0,2.0,1.0,1.0,19
2022,17,Singapore Grand Prix,ALO,5.0,6.0,5.0,6.0,-1.0,19
2022,17,Singapore Grand Prix,LEC,1.0,2.0,1.0,2.0,-1.0,19
2022,17,Singapore Grand Prix,STR,11.0,10.0,11.0,10.0,1.0,19
