Driver,Team,quali_pos,Race,Round,is_target
HAD,Red Bull Racing,6.0,Barcelona Grand Prix,7,False
PIA,McLaren,7.0,Barcelona Grand Prix,7,False
LAW,Racing Bulls,8.0,Barcelona Grand Prix,7,False
HUL,Audi,9.0,Barcelona Grand Prix,7,False
LEC,Ferrari,10.0,Barcelona Grand Prix,7,False
LIN,Racing Bulls,11.0,Barcelona Grand Prix,7,False
BOR,Audi,12.0,Barcelona Grand Prix,7,False
COL,Alpine,13.0,Barcelona Grand Prix,7,False
GAS,Alpine,14.0,Barcelona Grand Prix,7,False
BEA,Haas F1 Team,15.0,Barcelona Grand Prix,7,False
SAI,Williams,16.0,Barcelona Grand Prix,7,False
OCO,Haas F1 Team,17.0,Barcelona Grand Prix,7,False
ALB,Williams,18.0,Barcelona Grand Prix,7,False
PER,Cadillac,19.0,Barcelona Grand Prix,7,False
BOT,Cadillac,20.0,Barcelona Grand Prix,7,False
STR,Aston Martin,21.0,Barcelona Grand Prix,7,False
ALO,Aston Martin,22.0,Barcelona Grand Prix,7,False
RUS,Mercedes,1.0,Austrian Grand Prix,8,False
LEC,Ferrari,2.0,Austrian Grand Prix,8,False
HAM,Ferrari,3.0,Austrian Grand Prix,8,False
ANT,Mercedes,4.0,Austrian Grand Prix,8,False
VER,Red Bull Racing,5.0,Austrian Grand Prix,8,False
NOR,McLaren,6.0,Austrian Grand Prix,8,False
PIA,McLaren,7.0,Austrian Grand Prix,8,False
HAD,Red Bull Racing,8.0,Austrian Grand Prix,8,False
LAW,Racing Bulls,9.0,Austrian Grand Prix,8,False
LIN,Racing Bulls,10.0,Austrian Grand Prix,8,False
GAS,Alpine,11.0,Austrian Grand Prix,8,False
BOR,Audi,12.0,Austrian Grand Prix,8,False
BEA,Haas F1 Team,13.0,Austrian Grand Prix,8,False
HUL,Audi,14.0,Austrian Grand Prix,8,False
OCO,Haas F1 Team,15.0,Austrian Grand Prix,8,False
COL,Alpine,16.0,Austrian Grand Prix,8,False
SAI,Williams,17.0,Austrian Grand Prix,8,False
ALB,Williams,18.0,Austrian Grand Prix,8,False
PER,Cadillac,19.0,Austrian Grand Prix,8,False
BOT,Cadillac,20.0,Austrian Grand Prix,8,False
ALO,Aston Martin,21.0,Austrian Grand Prix,8,False
STR,Aston Martin,22.0,Austrian Grand Prix,8,False
ANT,Mercedes,1.0,British Grand Prix,9,False
LEC,Ferrari,2.0,British Grand Prix,9,False
